group,natural_prompt,structured_prompt,n,unique,length_mean,length_median,length_std,length_p10,length_p90,molecular_weight_da_mean,molecular_weight_da_median,molecular_weight_da_std,molecular_weight_da_p10,molecular_weight_da_p90,net_charge_simple_mean,net_charge_simple_median,net_charge_simple_std,net_charge_simple_p10,net_charge_simple_p90,net_charge_ph7_mean,net_charge_ph7_median,net_charge_ph7_std,net_charge_ph7_p10,net_charge_ph7_p90,isoelectric_point_mean,isoelectric_point_median,isoelectric_point_std,isoelectric_point_p10,isoelectric_point_p90,gravy_mean,gravy_median,gravy_std,gravy_p10,gravy_p90,hydrophobic_moment_alpha_mean,hydrophobic_moment_alpha_median,hydrophobic_moment_alpha_std,hydrophobic_moment_alpha_p10,hydrophobic_moment_alpha_p90,kr_frac_mean,kr_frac_median,kr_frac_std,kr_frac_p10,kr_frac_p90,basic_frac_mean,basic_frac_median,basic_frac_std,basic_frac_p10,basic_frac_p90,acidic_frac_mean,acidic_frac_median,acidic_frac_std,acidic_frac_p10,acidic_frac_p90,de_frac_mean,de_frac_median,de_frac_std,de_frac_p10,de_frac_p90,hydrophobic_frac_mean,hydrophobic_frac_median,hydrophobic_frac_std,hydrophobic_frac_p10,hydrophobic_frac_p90,aromatic_frac_mean,aromatic_frac_median,aromatic_frac_std,aromatic_frac_p10,aromatic_frac_p90,aliphatic_frac_mean,aliphatic_frac_median,aliphatic_frac_std,aliphatic_frac_p10,aliphatic_frac_p90,polar_uncharged_frac_mean,polar_uncharged_frac_median,polar_uncharged_frac_std,polar_uncharged_frac_p10,polar_uncharged_frac_p90,cys_count_mean,cys_count_median,cys_count_std,cys_count_p10,cys_count_p90,cys_frac_mean,cys_frac_median,cys_frac_std,cys_frac_p10,cys_frac_p90,proline_frac_mean,proline_frac_median,proline_frac_std,proline_frac_p10,proline_frac_p90,glycine_frac_mean,glycine_frac_median,glycine_frac_std,glycine_frac_p10,glycine_frac_p90,sequence_entropy_mean,sequence_entropy_median,sequence_entropy_std,sequence_entropy_p10,sequence_entropy_p90,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_std,normalized_entropy_p10,normalized_entropy_p90,max_homopolymer_run_mean,max_homopolymer_run_median,max_homopolymer_run_std,max_homopolymer_run_p10,max_homopolymer_run_p90
active_long_negative,,activity: active; target: unknown; length_bin: long; charge: negative; kr_ratio: low; hydrophobicity: medium; cys: none; toxicity: unknown,1024,1024,37.9834,39.0,7.9566,28.0,47.0,4200.2589,4345.0615,905.6477,2989.5037,5202.3547,-8.1079,-8.0,4.4478,-14.0,-2.9,-8.1014,-7.9875,4.4421,-13.981,-2.903,3.5299,3.453,0.8733,2.649,4.1564,-0.3159,-0.3588,0.6721,-1.126,0.5092,1.5954,1.597,0.3894,1.0771,2.1112,0.0443,0.0426,0.0354,0.0,0.0936,0.0516,0.0476,0.0384,0.0,0.1061,0.256,0.2553,0.1026,0.1277,0.3913,0.256,0.2553,0.1026,0.1277,0.3913,0.4051,0.4,0.0999,0.2857,0.5319,0.0468,0.0426,0.0418,0.0,0.1,0.3136,0.3118,0.0878,0.2,0.4222,0.1968,0.1915,0.0744,0.1064,0.2924,0.0283,0.0,0.1717,0.0,0.0,0.0007,0.0,0.0046,0.0,0.0,0.0453,0.04,0.0412,0.0,0.1032,0.0602,0.05,0.0482,0.0,0.1277,3.4003,3.434,0.2549,3.0549,3.7035,0.7891,0.7958,0.0564,0.7125,0.8577,2.4062,2.0,0.8095,2.0,3.0
active_medium_hydrophobic,,activity: active; target: unknown; length_bin: medium; charge: positive; kr_ratio: medium; hydrophobicity: high; cys: none; toxicity: unknown,1024,1024,20.4014,21.0,3.7404,16.0,24.0,2334.8409,2333.962,446.1359,1828.1896,2807.1557,4.8713,5.0,2.5083,2.0,8.0,4.8536,4.997,2.5102,1.953,7.997,10.9803,11.045,1.3745,9.884,12.441,-0.047,0.0629,0.8514,-1.1435,0.909,1.9002,2.0099,0.4753,1.1753,2.4276,0.2711,0.2727,0.1085,0.1364,0.4,0.2819,0.2778,0.1102,0.1487,0.4286,0.0315,0.0,0.0443,0.0,0.0952,0.0315,0.0,0.0443,0.0,0.0952,0.4653,0.4762,0.1225,0.3,0.6,0.082,0.0741,0.0674,0.0,0.1739,0.3742,0.3913,0.1326,0.1875,0.5238,0.129,0.1111,0.1056,0.0,0.25,0.2871,0.0,0.7716,0.0,1.0,0.0138,0.0,0.0371,0.0,0.05,0.0239,0.0,0.0415,0.0,0.0683,0.0852,0.0769,0.0685,0.0,0.1818,2.9674,2.9883,0.3675,2.533,3.3834,0.7016,0.7045,0.0818,0.6043,0.7963,1.9814,2.0,0.5631,1.0,3.0
active_short_highpos,,activity: active; target: unknown; length_bin: short; charge: high_positive; kr_ratio: high; hydrophobicity: medium; cys: none; toxicity: unknown,1021,1019,10.0039,9.0,4.9687,6.0,13.0,1337.2431,1256.525,637.2472,843.087,1771.33,5.0972,5.0,2.5325,2.1,8.0,5.0909,4.997,2.5325,2.089,7.996,11.9132,12.412,1.3179,10.844,13.002,-1.5939,-1.6625,1.3704,-3.38,0.1571,1.2879,1.1968,0.6877,0.4371,2.2579,0.5424,0.5556,0.2013,0.2857,0.8,0.5498,0.5556,0.2024,0.3,0.8,0.0062,0.0,0.0481,0.0,0.0,0.0062,0.0,0.0481,0.0,0.0,0.3489,0.3333,0.1775,0.1111,0.5714,0.1187,0.1,0.1239,0.0,0.2857,0.224,0.2,0.175,0.0,0.4545,0.0722,0.0,0.127,0.0,0.2,0.0568,0.0,0.2556,0.0,0.0,0.0056,0.0,0.0265,0.0,0.0,0.0188,0.0,0.052,0.0,0.1,0.0213,0.0,0.0538,0.0,0.1,1.9512,2.0404,0.5487,1.2958,2.6152,0.6082,0.616,0.1596,0.4097,0.7965,2.4476,2.0,1.5978,1.0,4.0
inactive_long_neutral,,activity: inactive; target: unknown; length_bin: long; charge: neutral; kr_ratio: low; hydrophobicity: medium; cys: none; toxicity: unknown,1024,1024,37.0039,38.0,7.412,28.0,46.0,4120.3083,4234.852,843.6994,2963.1416,5081.5028,-3.8512,-3.8,2.9608,-7.87,0.0,-3.8544,-3.814,2.9579,-7.8719,-0.0023,4.2952,3.901,1.5742,3.007,6.5007,0.1359,0.1256,0.5989,-0.5908,0.8899,1.4869,1.4663,0.3484,1.0671,1.9431,0.046,0.0435,0.036,0.0,0.0909,0.0617,0.0571,0.0406,0.0,0.1143,0.1501,0.1429,0.0696,0.0703,0.2432,0.1501,0.1429,0.0696,0.0703,0.2432,0.4624,0.4577,0.0942,0.3518,0.5854,0.0699,0.0638,0.0481,0.0,0.1379,0.3388,0.3333,0.0865,0.234,0.45,0.2424,0.2391,0.0784,0.1463,0.3435,0.0459,0.0,0.2139,0.0,0.0,0.0013,0.0,0.0063,0.0,0.0,0.0535,0.0488,0.0402,0.0,0.1064,0.0487,0.0444,0.0417,0.0,0.1026,3.5272,3.5543,0.2347,3.2391,3.7923,0.8186,0.8231,0.0513,0.754,0.878,2.2695,2.0,0.6772,2.0,3.0
ALL,,,4093,4089,26.3601,24.0,13.3042,9.0,45.0,2999.3802,2716.438,1417.4495,1166.7564,4954.5134,-0.5018,0.1,6.5299,-9.0,7.0,-0.5069,0.091,6.5223,-9.0238,6.996,7.6765,7.769,4.0109,3.1272,12.586,-0.4544,-0.2722,1.1445,-2.1122,0.7567,1.5678,1.5783,0.5402,0.8593,2.2569,0.2257,0.1111,0.2357,0.0,0.6,0.236,0.1277,0.235,0.0227,0.6,0.111,0.08,0.122,0.0,0.2903,0.111,0.08,0.122,0.0,0.2903,0.4205,0.4286,0.1364,0.25,0.5789,0.0793,0.0625,0.0816,0.0,0.1765,0.3127,0.3214,0.1375,0.125,0.4762,0.1601,0.1579,0.1181,0.0,0.3,0.1046,0.0,0.4419,0.0,0.0,0.0054,0.0,0.0237,0.0,0.0,0.0354,0.0222,0.0463,0.0,0.1,0.0539,0.0435,0.0586,0.0,0.1316,2.9623,3.1894,0.7223,1.8676,3.6778,0.7295,0.7594,0.1274,0.5702,0.8559,2.2761,2.0,1.014,2.0,3.0
